word,category
невеста,люди
белка,животное
корова,животное
зебра,животное
курица,животное
улитка,животное
акула,животное
рыба,животное
стрекоза,животное
бабочка,животное
черепаха,животное
гусеница,животное
ящерица,животное
газета,предметы
мельница,предметы
пирамида,предметы
звезда,предметы
роза,предметы
форточка,предметы
коридор,предметы
карта,предметы
гитара,предметы
конфета,предметы
спичка,предметы
паутина,предметы
колбаса,предметы
цепь,предметы
пальма,предметы
кость,предметы
клетка,предметы
лампа,предметы
рука,предметы
корона,предметы
ракета,предметы
груша,предметы
шуба,предметы
майка,предметы
щетка,предметы
коляска,предметы
пуговица,предметы
лев,предметы
боксер,предметы
охотник,люди
клоун,люди
робот,предметы
лебедь,животное
официант,человек
пингвин,животное
лось,животное
муравей,животное
дятел,животное
кит,животное
носорог,животное
страус,животное
верблюд,животное
кенгуру,животное
жираф,животное
тигр,животное
осьминог,животное
петух,животное
журнал,предметы
мозг,предметы
оркестр,люди
стадион,предметы
глаз,предметы
сыр,предметы
колокол,предметы
танк,предметы
карман,предметы
ключ,предметы
кулак,предметы
руль,предметы
автобус,предметы
квадрат,предметы
самолет,предметы
вертолет,предметы
костюм,предметы
флаг,предметы
локоть,предметы
якорь,предметы
свеча,предметы
колодец,предметы
трубка,предметы
нос,предметы
